# 连锁 / 被引用能力明细（card | ability | trigger | target | 引用关系）
bear	play_choice_taunt_fury	OnPlay	ChoiceSelector	chain1=choice_taunt trig=None tgt=Self val=0 dur=0 st=[StatusData] eff=[] || chain2=choice_fury trig=None tgt=Self val=0 dur=0 st=[StatusData] eff=[]
corruption_potion	spell_debuff2	None	LastTargeted	chain1=chain_debuff2_ifzero_kill trig=None tgt=LastTargeted val=0 dur=0 condG=[ConditionStatoper=3;type=10;value=0;] eff=[EffectDestroy]
death_pact	vampire_lord	Ongoing	Self	chain1=vampire_lord trig=Ongoing tgt=Self val=0 dur=0 st=[StatusData] eff=[] chain=[vampire_lord trig=Ongoing tgt=Self val=0 dur=0 st=[StatusData] eff=[]]
dragon's_anger	spell_summon_dragon_red_damage	OnPlay	PlayTarget	chain1=spell_summon_dragon_red_damage_chain trig=OnPlay tgt=PlayerSelf val=0 dur=0 eff=[EffectAddToDeck]
dragon_egg	spell_dragon_create	OnPlay	AllCardData	chain1=chain_discover trig=None tgt=CardSelector val=0 dur=0 condG=[ConditionCardPileoper=0;type=90;,ConditionOwneroper=0;] eff=[EffectSendPile(pile=20)] || chain2=chain_clear_temp trig=None tgt=LastTargeted val=0 dur=0 condG=[ConditionStatoper=3;type=10;value=0;] eff=[EffectClearTemp]
equip_ring	equip_gain_mana	StartOfTurn	PlayerSelf	chain1=chain_equip_use trig=None tgt=Self val=-1 dur=0 eff=[EffectAddStat(type=20)]
gorilla	play_roll_attack	OnPlay	Self	chain1=roll_add_attack trig=None tgt=Self val=0 dur=0 eff=[EffectAddStatRoll]
holy_griffin	activate_get+1+2	Activate	Self	chain1=activate_chain_get+1+2 trig=None tgt=Self val=2 dur=0 eff=[EffectAddStat(type=20)]
killer_whale	play_destroy_less4	OnPlay	SelectTarget	chain1=chain_draw trig=None tgt=PlayerSelf val=1 dur=0 eff=[EffectDraw]
octopus	attack_roll_attack_bonus	OnBeforeAttack	Self	chain1=roll_attack_bonus trig=None tgt=Self val=6 dur=1 condT=[ConditionRolledoper=2;value=4;] st=[StatusData] eff=[]
soul_harvest	spell_soul_harvest	OnPlay	AllCardsBoard	chain1=chain_heal_per_kill trig=OnPlay tgt=PlayerSelf val=1 dur=0 eff=[EffectHeal]
spell_hibernate	spell_hibernate	OnPlay	PlayTarget	chain1=chain_hibernate trig=None tgt=PlayTarget val=0 dur=4 condG=[ConditionCardTypeoper=0;] st=[StatusData] eff=[EffectExhaust]
spell_projectiles	spell_projectile1_repeat	OnPlay	None	repeatType=1 repeatAbility=chain_projectile1 trig=None tgt=AllCardsBoard val=1 dur=0 condG=[ConditionSlotEmptyoper=1;,ConditionOwneroper=1;] filt=[FilterRandomamount=1;] eff=[EffectDamage(kw=spell_damage)]
spell_treasure	spell_treasure	OnPlay	PlayerSelf	chain1=chain_treasure trig=None tgt=CardSelector val=0 dur=0 condG=[ConditionOwneroper=0;,ConditionCardPileoper=0;type=30;] filt=[FilterFirstamount=7;] eff=[EffectSendPile(pile=20)] chain=[chain_treasure2 trig=None tgt=CardSelector val=0 dur=0 condG=[ConditionOwneroper=0;,ConditionCardPileoper=0;type=30;] filt=[FilterFirstamount=7;] eff=[EffectSendPile(pile=20)]]
vampire	vampire_lord	Ongoing	Self	chain1=vampire_lord trig=Ongoing tgt=Self val=0 dur=0 st=[StatusData] eff=[] chain=[vampire_lord trig=Ongoing tgt=Self val=0 dur=0 st=[StatusData] eff=[]]
world_tree_seedling	end_turn_blessing	EndOfTurn	PlayerSelf	chain1=end_turn_blessing_chain_draw trig=EndOfTurn tgt=PlayerSelf val=1 dur=0 condT=[ConditionTurnoper=0;] eff=[EffectDraw] || chain2=end_turn_blessing_chain_heal trig=EndOfTurn tgt=AllCardsBoard val=3 dur=0 condT=[ConditionTurnoper=0;] condG=[ConditionOwneroper=0;] eff=[EffectHeal]
