# Phase 3 差分结果（旧能力 vs 规则图）  at=2026-09-23 19:53:09
# 列：结果 | 卡 | 能力 | 入口 | 目标模式 | 旧差分 | 新差分 | 说明
same	Plague_Rat	death_debuff_enemy	PassiveEffect	所有角色/AllCardsBoard	(无状态变化)	(无状态变化)	
same	angel_kiss	spell_heal_3	ActivateEffect	打出目标/PlayTarget	(无状态变化)	(无状态变化)	
same	bay	death_blue_draw	OnDeathOther	施法者玩家/PlayerSelf	P0.deck.woodland.ab_n:5→4; P0.deck.woodland.cnt:5→4; P0.deck.woodland.hp:25→20; P0.deck.woodland.mana:10→8; P0.deck.woodland.sig_nz:5→4; P0.hand.woodland.ab_n:3→4; P0.hand.woodland.cnt:3→4; P0.hand.woodland.hp:15→20; P0.hand.woodland.mana:6→8; P0.hand.woodland.sig_nz:3→4; P0.n_deck:5→4; P0.n_hand:3→…	P0.deck.woodland.ab_n:5→4; P0.deck.woodland.cnt:5→4; P0.deck.woodland.hp:25→20; P0.deck.woodland.mana:10→8; P0.deck.woodland.sig_nz:5→4; P0.hand.woodland.ab_n:3→4; P0.hand.woodland.cnt:3→4; P0.hand.woodland.hp:15→20; P0.hand.woodland.mana:6→8; P0.hand.woodland.sig_nz:3→4; P0.n_deck:5→4; P0.n_hand:3→…	
skip	bear	play_choice_taunt_fury	ActivateEffect	选择器/ChoiceSelector			目标模式本夹具不支持
same	bone_warrior	death_summon_skeleton	PassiveEffect	自身/Self	P0.board.skeleton.atk:0→1; P0.board.skeleton.cnt:0→1; P0.board.skeleton.hp:0→1; P0.board.skeleton.mana:0→1; P0.board.skeleton.sig_nz:0→1; P0.board.skeleton.st_SummonDisorder:0→1; P0.board.skeleton.st_SummonDisorder_dur:0→2; P0.n_board:1→2	P0.board.skeleton.atk:0→1; P0.board.skeleton.cnt:0→1; P0.board.skeleton.hp:0→1; P0.board.skeleton.mana:0→1; P0.board.skeleton.sig_nz:0→1; P0.board.skeleton.st_SummonDisorder:0→1; P0.board.skeleton.st_SummonDisorder_dur:0→2; P0.n_board:1→2	
same	branch	play_deal_damage1	ActivateEffect	选择目标/SelectTarget	P0.board.imp.dmg:0→1	P0.board.imp.dmg:0→1	
same	bravery_blessing	spell_buff4	ActivateEffect	选择目标/SelectTarget	P0.board.imp.atk:1→5; P0.board.imp.hp:1→5	P0.board.imp.atk:1→5; P0.board.imp.hp:1→5	
same	card_merchant	play_draw3	ActivateEffect	自身/Self	P0.deck.woodland.ab_n:5→2; P0.deck.woodland.cnt:5→2; P0.deck.woodland.hp:25→10; P0.deck.woodland.mana:10→4; P0.deck.woodland.sig_nz:5→2; P0.hand.woodland.ab_n:3→6; P0.hand.woodland.cnt:3→6; P0.hand.woodland.hp:15→30; P0.hand.woodland.mana:6→12; P0.hand.woodland.sig_nz:3→6; P0.n_deck:5→2; P0.n_hand:3…	P0.deck.woodland.ab_n:5→2; P0.deck.woodland.cnt:5→2; P0.deck.woodland.hp:25→10; P0.deck.woodland.mana:10→4; P0.deck.woodland.sig_nz:5→2; P0.hand.woodland.ab_n:3→6; P0.hand.woodland.cnt:3→6; P0.hand.woodland.hp:15→30; P0.hand.woodland.mana:6→12; P0.hand.woodland.sig_nz:3→6; P0.n_deck:5→2; P0.n_hand:3…	
same	cave	turn_end_damage_hero_2	EventEffect	对手玩家/PlayerOpponent	P1.hp:30→28	P1.hp:30→28	
same	coin	spell_coin	ActivateEffect	施法者玩家/PlayerSelf	P0.mana:10→11	P0.mana:10→11	
same	crab_mana	attack_player_mana2	OnAfterAttack	施法者玩家/PlayerSelf	P0.mana:10→12	P0.mana:10→12	
same	crow	play_deal_damage1	ActivateEffect	选择目标/SelectTarget	P0.board.imp.dmg:0→1	P0.board.imp.dmg:0→1	
same	curse_trap	trap_destroy	EventEffect	触发者/AbilityTriggerer	P0.kills:0→1; P1.board.woodland.ab_n:1→0; P1.board.woodland.cnt:1→0; P1.board.woodland.hp:5→0; P1.board.woodland.mana:2→0; P1.board.woodland.sig_nz:1→0; P1.board.woodland.st_SummonDisorder:1→0; P1.board.woodland.st_SummonDisorder_dur:2→0; P1.discard.woodland.ab_n:0→1; P1.discard.woodland.cnt:0→1; P1…	P0.kills:0→1; P1.board.woodland.ab_n:1→0; P1.board.woodland.cnt:1→0; P1.board.woodland.hp:5→0; P1.board.woodland.mana:2→0; P1.board.woodland.sig_nz:1→0; P1.board.woodland.st_SummonDisorder:1→0; P1.board.woodland.st_SummonDisorder_dur:2→0; P1.discard.woodland.ab_n:0→1; P1.discard.woodland.cnt:0→1; P1…	
same	dark_blessing	spell_buff2	ActivateEffect	选择目标/SelectTarget	P0.board.imp.atk:1→3; P0.board.imp.hp:1→3	P0.board.imp.atk:1→3; P0.board.imp.hp:1→3	
same	dark_stallion	activate_damage1(2)	ActivateAbility	选择目标/SelectTarget	P0.board.imp.dmg:0→1	P0.board.imp.dmg:0→1	
same	divine_blessing	spell_buff2	ActivateEffect	选择目标/SelectTarget	P0.board.imp.atk:1→3; P0.board.imp.hp:1→3	P0.board.imp.atk:1→3; P0.board.imp.hp:1→3	
same	divine_healing	play_draw3	ActivateEffect	自身/Self	P0.deck.woodland.ab_n:5→2; P0.deck.woodland.cnt:5→2; P0.deck.woodland.hp:25→10; P0.deck.woodland.mana:10→4; P0.deck.woodland.sig_nz:5→2; P0.hand.woodland.ab_n:3→6; P0.hand.woodland.cnt:3→6; P0.hand.woodland.hp:15→30; P0.hand.woodland.mana:6→12; P0.hand.woodland.sig_nz:3→6; P0.n_deck:5→2; P0.n_hand:4…	P0.deck.woodland.ab_n:5→2; P0.deck.woodland.cnt:5→2; P0.deck.woodland.hp:25→10; P0.deck.woodland.mana:10→4; P0.deck.woodland.sig_nz:5→2; P0.hand.woodland.ab_n:3→6; P0.hand.woodland.cnt:3→6; P0.hand.woodland.hp:15→30; P0.hand.woodland.mana:6→12; P0.hand.woodland.sig_nz:3→6; P0.n_deck:5→2; P0.n_hand:4…	
