# 内置卡池节点 → 编辑器节点库 一致性审计  at=2026-09-20 07:18:58
# 判据：库里必须能选到该节点（NodeDoc 未过时/未被同名顶掉/已接入执行，或项目内预设）；且池里节点标题应等于库里的节点名
# 列：action | 次数 | 库内? | 库节点名 | 分类 | 过时/隐藏 | 灰显不可选 | 池里标题 | 判定
PassiveEffect	9	是	被动效果入口	入口	否	否	被动效果入口 / 被动效果入口：亡语 / 被动效果入口：召唤蛋 / 被动效果入口：抽牌 / 被动效果入口：瘟疫 / 被动效果入口：龙血	OK
102032	19	是	卡牌类型判断	卡牌	否	否	卡牌类型判断	OK
EFCardOwner	12	是	卡牌归属判断	事件	否	否	卡牌归属判断	OK
112005	46	是	逻辑运算	其他	否	否	逻辑运算	OK
212001	46	是	分支动作	其他	否	否	分支动作	OK
102004	30	是	获取属性	卡牌	否	否	获取属性	OK
112003	30	是	整数常量	其他	否	否	整数常量	OK
112004	30	是	整数运算	其他	否	否	整数运算	OK
202037	31	是	设置卡牌属性	卡牌	否	否	设置卡牌属性	OK
ActivateEffect	59	是	主动效果入口	入口	否	否	主动效果入口 / 主动效果入口：冬眠 / 主动效果入口：冲锋 / 主动效果入口：发现龙 / 主动效果入口：召唤狼 / 主动效果入口：宝藏 / 主动效果入口：弹幕 / 主动效果入口：强化 / 主动效果入口：成长 / 主动效果入口：抽牌 / 主动效果入口：挖掘 / 主动效果入口：攻击力+1 / 主动效果入口：杀手 / 主动效果入口：沉没 / 主动效果入口：沉默 / 主动效果入口：治疗 / 主动效果入口：洪水 / 主动效果入口：海上风暴 / 主动效果入口：火焰 / 主动效果入口：火焰伤害 / 主动效果入口：灭绝 / 主动效果入口：生命值+2 / 主动效果入口：电击 / 主动效果入口：空袭 / 主动效果入口：踏碎 / 主动效果入口：返回手牌 / 主动效果入口：选择 / 主动效果入口：金币 / 主动效果入口：随机攻击 / 主动效果入口：雷击 / 主动效果入口：龙息	OK
112001	24	是	布尔常量	其他	否	否	布尔常量	OK
202013	10	是	治疗目标卡牌	卡牌	否	否	治疗目标卡牌	OK
OnDeathOther	2	是	他人死亡入口	入口	否	否	他人死亡入口：抽牌 / 他人死亡入口：贪食	OK
210001	14	是	简单抽牌	行动	否	否	简单抽牌	OK
202003	7	是	创建衍生卡并置入战场	卡牌	否	否	创建衍生卡并置入战场	OK
102001	13	是	这张卡牌	卡牌	否	否	这张卡牌	OK
112002	13	是	比较	其他	否	否	比较	OK
101030	16	是	AI限定·目标与施法者同归属	玩家	否	否	AI限定·目标与施法者同归属	OK
202041	17	是	造成伤害或法伤	卡牌	否	否	造成伤害或法伤	OK
105005	7	是	卡牌所在牌堆判断	牌堆	否	否	卡牌所在牌堆判断	OK
EventEffect	16	是	事件效果入口	入口	否	否	事件效果入口 / 事件效果入口：再生 / 事件效果入口：变形凤凰 / 事件效果入口：变成鱼 / 事件效果入口：战斗狂怒 / 事件效果入口：收割者 / 事件效果入口：法力戒指 / 事件效果入口：法术共振 / 事件效果入口：潜行 / 事件效果入口：火焰伤害 / 事件效果入口：祝福 / 事件效果入口：绿色治疗 / 事件效果入口：触手	OK
AddManaNoClamp	4	是	增加当前灵力(不钳制)	玩家	否	否	增加当前灵力(不钳制)	OK
OnAfterAttack	3	是	攻击后入口	入口	否	否	攻击后入口 / 攻击后入口：掠夺 / 攻击后入口：钓鱼	OK
202016	5	是	消灭	卡牌	否	否	消灭	OK
ActivateAbility	7	是	起动式效果入口	入口	否	否	起动式效果入口 / 起动式效果入口：智慧 / 起动式效果入口：治愈 / 起动式效果入口：火焰 / 起动式效果入口：花费(2) / 起动式效果入口：魔力专注	OK
CreateCardFromDefineRaw	1	是	从定义创建衍生卡	卡牌	否	否	从定义创建衍生卡	OK
202004	4	是	创建衍生卡并置入手牌	卡牌	否	否	创建衍生卡并置入手牌	OK
202029	3	是	变形为卡牌定义	卡牌定义	否	否	变形为卡牌定义	OK
SendToPileRaw	6	是	移入区域(清空状态)	卡牌	否	否	移入区域(清空状态)	OK
SetCardExhausted	2	是	设置横置	卡牌	否	否	设置横置	OK
RollValue	2	是	掷骰	卡牌	否	否	掷骰	OK
PlayCardFree	2	是	免费打出卡牌	卡牌	否	否	免费打出卡牌	OK
ClearCardStatus	3	是	移除状态	卡牌	否	否	移除状态	OK
ResetCardToBase	2	是	复位卡牌	卡牌	否	否	复位卡牌	OK
OnKill	2	是	击杀入口	入口	否	否	击杀入口	OK
202050	2	是	添加技能	卡牌	否	否	添加技能	OK
SetCardHpClearDamage	1	是	设置生命值(清伤害)	卡牌	否	否	设置生命值(清伤害)	OK
RepeatAbilityById	1	是	重复触发技能	卡牌	否	否	重复触发技能	OK
# 汇总：不同 action=38｜节点实例=501｜可选且呈现正确=38｜★违规定位=0｜标题不一致=0
# 违规 action：无 ✓
